date,feature,sentiment,count
06-Nov-2015,support,negative,1
18-Dec-2015,support,Neutral,8
11-Feb-2015,quality,negative,7
17-Sep-2015,support,negative,6
11-Mar-2015,delivery_and_return,negative,8
28-Jul-2015,support,negative,4
04-Aug-2015,support,Neutral,6
06-Feb-2015,support,negative,6
02-Jul-2015,delivery_and_return,negative,6
20-Feb-2015,delivery_and_return,negative,9
31-Oct-2015,delivery_and_return,negative,0
06-Sep-2015,packaging,positive,5
07-Feb-2015,quality,negative,5
10-Jul-2015,support,negative,5
16-Jun-2015,support,Neutral,8
09-Dec-2015,packaging,Neutral,4
05-Jun-2015,packaging,negative,4
16-May-2015,support,negative,6
30-Oct-2015,packaging,Neutral,2
05-Jun-2015,comparatively,Neutral,0
29-Jun-2015,quality,negative,10
24-Mar-2015,delivery_and_return,positive,5
01-Feb-2015,quality,negative,6
04-Oct-2015,comparatively,Neutral,5
26-Aug-2015,support,negative,7
02-Aug-2015,support,positive,10
18-Sep-2015,support,positive,2
19-Sep-2015,support,negative,3
31-Jul-2015,support,positive,8
01-Jul-2015,support,Neutral,0
10-Aug-2015,packaging,positive,10
28-Feb-2015,support,Neutral,9
11-Apr-2015,packaging,positive,8
09-Jan-2015,packaging,Neutral,8
29-Mar-2015,quality,negative,0
28-Sep-2015,support,Neutral,9
28-Feb-2015,comparatively,Neutral,6
06-Dec-2015,packaging,negative,6
16-Dec-2015,delivery_and_return,negative,9
09-Nov-2015,packaging,Neutral,7
26-Oct-2015,support,negative,9
26-Nov-2015,comparatively,negative,8
11-Nov-2015,delivery_and_return,Neutral,4
17-Mar-2015,support,positive,8
10-Jan-2015,support,Neutral,7
12-Dec-2015,comparatively,Neutral,6
25-Feb-2015,quality,positive,4
07-Nov-2015,delivery_and_return,Neutral,8
08-Jan-2015,packaging,Neutral,0
30-Jun-2015,comparatively,negative,4
16-Jul-2015,support,positive,1
23-Nov-2015,packaging,negative,2
21-Dec-2015,packaging,Neutral,3
10-Sep-2015,delivery_and_return,negative,8
23-May-2015,delivery_and_return,negative,0
14-Sep-2015,support,positive,2
07-Apr-2015,quality,Neutral,0
20-Feb-2015,packaging,Neutral,2
05-Apr-2015,support,Neutral,10
23-Jun-2015,packaging,positive,6
04-Jun-2015,support,positive,10
04-Dec-2015,delivery_and_return,positive,9
29-May-2015,comparatively,positive,2
06-Jan-2015,delivery_and_return,Neutral,10
25-Dec-2015,support,Neutral,7
22-Jun-2015,quality,Neutral,4
12-Nov-2015,quality,Neutral,4
30-Sep-2015,support,Neutral,2
03-Jun-2015,support,positive,10
24-Aug-2015,comparatively,positive,10
03-Nov-2015,delivery_and_return,Neutral,7
10-May-2015,delivery_and_return,positive,10
26-Aug-2015,comparatively,negative,7
24-Aug-2015,support,positive,1
25-Jun-2015,quality,negative,10
07-Feb-2015,delivery_and_return,negative,6
09-Nov-2015,support,Neutral,1
12-Feb-2015,support,Neutral,4
23-Mar-2015,packaging,negative,1
19-Aug-2015,packaging,positive,1
10-Apr-2015,support,negative,6
24-Mar-2015,packaging,negative,7
06-Dec-2015,support,Neutral,10
03-Mar-2015,support,positive,9
29-Aug-2015,delivery_and_return,positive,0
23-Aug-2015,packaging,Neutral,0
13-Nov-2015,quality,positive,2
27-May-2015,delivery_and_return,negative,4
29-Sep-2015,delivery_and_return,Neutral,5
16-Jul-2015,quality,positive,8
17-Oct-2015,comparatively,negative,6
08-Sep-2015,support,positive,8
09-Nov-2015,quality,Neutral,6
13-Jun-2015,support,positive,9
27-Mar-2015,support,negative,3
20-Oct-2015,quality,negative,6
09-Mar-2015,support,negative,10
04-Jun-2015,comparatively,positive,2
06-Jun-2015,packaging,negative,9
29-Oct-2015,support,Neutral,3
09-Jul-2015,packaging,negative,8
02-Aug-2015,quality,negative,9
29-Aug-2015,comparatively,Neutral,7
19-Jan-2015,support,positive,4
20-Aug-2015,support,positive,5
14-Jun-2015,comparatively,negative,2
08-Jun-2015,support,Neutral,10
30-Jul-2015,packaging,negative,1
21-Dec-2015,quality,positive,1
29-Aug-2015,delivery_and_return,negative,2
26-Jun-2015,packaging,positive,7
01-Jun-2015,comparatively,positive,9
20-Jan-2015,comparatively,positive,10
27-Apr-2015,packaging,positive,8
31-Mar-2015,quality,negative,3
16-May-2015,packaging,negative,1
03-Jan-2015,comparatively,positive,9
05-Apr-2015,quality,negative,6
08-Jan-2015,quality,positive,10
10-Sep-2015,support,positive,1
12-Feb-2015,comparatively,negative,4
18-Sep-2015,quality,negative,5
05-Feb-2015,delivery_and_return,negative,6
17-Feb-2015,quality,Neutral,7
02-Jul-2015,comparatively,negative,0
03-May-2015,comparatively,negative,8
22-May-2015,support,negative,4
03-Nov-2015,delivery_and_return,positive,1
27-Jun-2015,support,negative,10
06-Jan-2015,support,Neutral,2
20-Jul-2015,delivery_and_return,Neutral,0
20-May-2015,comparatively,negative,9
24-Jan-2015,comparatively,negative,3
04-Apr-2015,support,Neutral,8
04-Feb-2015,delivery_and_return,negative,0
01-Dec-2015,quality,negative,7
02-May-2015,packaging,negative,9
02-Jul-2015,delivery_and_return,positive,4
06-Aug-2015,packaging,Neutral,4
16-Mar-2015,delivery_and_return,Neutral,1
01-Aug-2015,support,Neutral,7
27-Jul-2015,packaging,negative,4
14-May-2015,delivery_and_return,positive,9
16-Nov-2015,support,Neutral,9
23-Dec-2015,packaging,negative,0
16-Mar-2015,quality,Neutral,8
11-Oct-2015,support,Neutral,3
04-Nov-2015,quality,negative,1
18-Nov-2015,packaging,negative,0
12-Jun-2015,delivery_and_return,negative,7
05-Apr-2015,comparatively,positive,3
24-Oct-2015,comparatively,Neutral,0
26-Sep-2015,quality,Neutral,9
07-Jun-2015,quality,positive,0
18-Nov-2015,support,negative,6
26-Oct-2015,support,positive,8
14-Apr-2015,packaging,positive,10
23-Sep-2015,quality,positive,3
14-Oct-2015,support,negative,2
12-Jan-2015,quality,Neutral,7
12-Dec-2015,comparatively,negative,6
23-Mar-2015,support,negative,4
29-Jan-2015,delivery_and_return,positive,7
11-Mar-2015,support,negative,2
08-Jan-2015,support,negative,6
05-Sep-2015,packaging,positive,9
05-Nov-2015,support,Neutral,9
22-Jul-2015,comparatively,Neutral,6
22-Sep-2015,comparatively,Neutral,9
01-Jun-2015,support,negative,3
25-Jun-2015,support,Neutral,2
27-Dec-2015,packaging,negative,2
02-May-2015,comparatively,negative,8
01-Aug-2015,support,positive,2
31-Jul-2015,support,Neutral,3
04-Jun-2015,support,negative,7
02-Jun-2015,comparatively,positive,9
03-Nov-2015,quality,Neutral,0
20-Feb-2015,packaging,negative,9
12-Apr-2015,support,negative,8
16-Apr-2015,delivery_and_return,positive,7
